c,k,9,10,11,12,13,14,15,16,17
9,4,0.0,14.0,41.0,94.0,199.0,423.0,887.0,1847.0,3831.0
9,5,0.0,15.0,44.0,101.0,214.0,439.0,919.0,1911.0,3959.0
9,6,0.0,16.0,47.0,108.0,229.0,470.0,951.0,1975.0,4087.0
9,7,0.0,17.0,50.0,115.0,244.0,501.0,1014.0,2039.0,4215.0
9,8,0.0,18.0,53.0,122.0,259.0,532.0,1077.0,2166.0,4343.0
9,9,,19.0,56.0,129.0,274.0,563.0,1140.0,2293.0,4598.0
9,10,,,59.0,136.0,289.0,594.0,1203.0,2420.0,4853.0
9,11,,,,143.0,304.0,625.0,1266.0,2547.0,5108.0
9,12,,,,,319.0,656.0,1329.0,2674.0,5363.0
9,13,,,,,,687.0,1392.0,2801.0,5618.0
9,14,,,,,,,1455.0,2928.0,5873.0
9,15,,,,,,,,3055.0,6128.0
9,16,,,,,,,,,6383.0
10,0,,0.0,11.0,34.0,82.0,182.0,390.0,822.0,1718.0
10,1,,0.0,12.0,36.0,86.0,190.0,406.0,854.0,1782.0
10,2,,0.0,13.0,38.0,90.0,198.0,422.0,886.0,1846.0
10,3,,0.0,14.0,41.0,94.0,206.0,438.0,918.0,1910.0
10,4,,0.0,15.0,44.0,101.0,214.0,454.0,950.0,1974.0
10,5,,0.0,16.0,47.0,108.0,229.0,470.0,982.0,2038.0
10,6,,0.0,17.0,50.0,115.0,244.0,501.0,1014.0,2102.0
10,7,,0.0,18.0,53.0,122.0,259.0,532.0,1077.0,2166.0
10,8,,0.0,19.0,56.0,129.0,274.0,563.0,1140.0,2293.0
10,9,,0.0,20.0,59.0,136.0,289.0,594.0,1203.0,2420.0
10,10,,,21.0,62.0,143.0,304.0,625.0,1266.0,2547.0
10,11,,,,65.0,150.0,319.0,656.0,1329.0,2674.0
10,12,,,,,157.0,334.0,687.0,1392.0,2801.0
10,13,,,,,,349.0,718.0,1455.0,2928.0
10,14,,,,,,,749.0,1518.0,3055.0
10,15,,,,,,,,1581.0,3182.0
10,16,,,,,,,,,3309.0
11,0,,,0.0,12.0,37.0,89.0,197.0,421.0,885.0
11,1,,,0.0,13.0,39.0,93.0,205.0,437.0,917.0
11,2,,,0.0,14.0,41.0,97.0,213.0,453.0,949.0
11,3,,,0.0,15.0,44.0,101.0,221.0,469.0,981.0
11,4,,,0.0,16.0,47.0,108.0,229.0,485.0,1013.0
11,5,,,0.0,17.0,50.0,115.0,244.0,501.0,1045.0
11,6,,,0.0,18.0,53.0,122.0,259.0,532.0,1077.0
11,7,,,0.0,19.0,56.0,129.0,274.0,563.0,1140.0
11,8,,,0.0,20.0,59.0,136.0,289.0,594.0,1203.0
11,9,,,0.0,21.0,62.0,143.0,304.0,625.0,1266.0
11,10,,,0.0,22.0,65.0,150.0,319.0,656.0,1329.0
11,11,,,,23.0,68.0,157.0,334.0,687.0,1392.0
11,12,,,,,71.0,164.0,349.0,718.0,1455.0
11,13,,,,,,171.0,364.0,749.0,1518.0
11,14,,,,,,,379.0,780.0,1581.0
11,15,,,,,,,,811.0,1644.0
11,16,,,,,,,,,1707.0
12,0,,,,0.0,13.0,40.0,96.0,212.0,452.0
12,1,,,,0.0,14.0,42.0,100.0,220.0,468.0
12,2,,,,0.0,15.0,44.0,104.0,228.0,484.0
