c,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
6,8.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8.0,9.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8.0,9.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,,9.0,5.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,,,10.0,5.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,,,,11.0,5.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,,,,,7.0,5.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,,,,,,7.0,5.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,,,,,,,7.0,5.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,,,,,,,,6.0,5.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16,,,,,,,,,6.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17,,,,,,,,,,6.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
18,,,,,,,,,,,6.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0
19,,,,,,,,,,,,5.0,5.0,3.0,1.0,0.0,0.0,0.0
